"TimeGenerated","SourceName","Message","ProductName","EventIdentifier","User","Reason"
"19-08-2026 14:34:02","MsiInstaller","Windows Installer reconfigured the product. Product Name: BrightAuthor 5.0. Product Version: 5.0.2.0. Product Language: 1033. Manufacturer: BrightSign. Reconfiguration success or error status: 0.","BrightAuthor 5.0","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:02","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 8.0.30 (x86). Product Version: 64.120.56788. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Host FX Resolver - 8.0.30 (x86)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:02","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Host - 8.0.30 (x64). Product Version: 64.120.56788. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Host - 8.0.30 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:02","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft Power BI Desktop (x64). Product Version: 2.156.951.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft Power BI Desktop (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:01","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 Connection Info. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 Connection Info","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:01","MsiInstaller","Windows Installer reconfigured the product. Product Name: Python 3.13.15 Development Libraries (64-bit). Product Version: 3.13.15150.0. Product Language: 1033. Manufacturer: Python Software Foundation. Reconfiguration success or error status: 0.","Python 3.13.15 Development Libraries (64-bit)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:01","MsiInstaller","Windows Installer reconfigured the product. Product Name: File_Watcher. Product Version: 1.0.0. Product Language: 1033. Manufacturer: NIQ. Reconfiguration success or error status: 0.","File_Watcher","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:01","MsiInstaller","Windows Installer reconfigured the product. Product Name: Cirrus Audio Driver Setup. Product Version: 1.2.44. Product Language: 1033. Manufacturer: Cirrus Logic Inc.. Reconfiguration success or error status: 0.","Cirrus Audio Driver Setup","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:01","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft .NET Host FX Resolver - 8.0.30 (x64). Product Version: 64.120.56788. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft .NET Host FX Resolver - 8.0.30 (x64)","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:00","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft VSS Writer for SQL Server 2019. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft VSS Writer for SQL Server 2019","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:00","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft SQL Server 2019 RsFx Driver. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft SQL Server 2019 RsFx Driver","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:34:00","MsiInstaller","Windows Installer reconfigured the product. Product Name: BarTender. Product Version: 11.5.1. Product Language: 1033. Manufacturer: Seagull Software. Reconfiguration success or error status: 0.","BarTender","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:59","MsiInstaller","Windows Installer reconfigured the product. Product Name: Zscaler. Product Version: 4.8.0.232. Product Language: 1033. Manufacturer: Zscaler Inc.. Reconfiguration success or error status: 0.","Zscaler","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:59","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 DMF. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 DMF","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:59","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 Connection Info. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 Connection Info","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:59","MsiInstaller","Windows Installer reconfigured the product. Product Name: Microsoft OLE DB Driver for SQL Server. Product Version: 18.7.4.0. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","Microsoft OLE DB Driver for SQL Server","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:58","MsiInstaller","Windows Installer reconfigured the product. Product Name: SQL Server 2019 XEvent. Product Version: 15.0.2000.5. Product Language: 1033. Manufacturer: Microsoft Corporation. Reconfiguration success or error status: 0.","SQL Server 2019 XEvent","1035","NT AUTHORITY\SYSTEM",
"19-08-2026 14:33:58","MsiInstaller","Windows Installer reconfigured the product. Product Name: ZscalerEP. Product Version: 26.05.0.36. Product Language: 1033. Manufacturer: Zscaler. Reconfiguration success or error status: 0.","ZscalerEP","1035","NT AUTHORITY\SYSTEM",
