"DeviceName","DeviceClass","Manufacturer","DriverVersion","DriverDate","DriverProviderName","IsSigned","InfName"
"WAN Miniport (Network Monitor)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netrasa.inf"
"WAN Miniport (PPPOE)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netrasa.inf"
"WAN Miniport (PPTP)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netrasa.inf"
"WAN Miniport (SSTP)","NET","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","netsstpa.inf"
"Local Print Queue","PRINTQUEUE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Local Print Queue","PRINTQUEUE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Local Print Queue","PRINTQUEUE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Local Print Queue","PRINTQUEUE","TSC","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Local Print Queue","PRINTQUEUE","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Network Printer Connection","PRINTQUEUE","Xerox","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Network Printer Connection","PRINTQUEUE","Xerox","10.0.26100.1","21-06-2006 05:30:00","Microsoft","True","printqueue.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel Processor","PROCESSOR","Intel","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","cpu.inf"
"Intel RST VMD Controller 7D0B","SCSIADAPTER","Intel Corporation","20.2.13.1038","04-02-2026 05:30:00","Intel Corporation","True","oem512.inf"
"Intel RST VMD Managed Controller 09AB","SCSIADAPTER","Intel Corporation","20.2.13.1038","04-02-2026 05:30:00","Intel Corporation","True","oem512.inf"
"Microsoft Storage Spaces Controller","SCSIADAPTER","Microsoft","10.0.26100.8875","21-06-2006 05:30:00","Microsoft","True","spaceport.inf"
"Trusted Platform Module 2.0","SECURITYDEVICES","(Standard)","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","True","tpm.inf"
"HID Sensor Collection V2","SENSOR","Microsoft","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","True","sensorshidclassdriver.inf"
