"FriendlyName","Class","Manufacturer","Status","Problem","InstanceId"
"Headset Microphone (Plantronics Blackwire 3225 Series)","AudioEndpoint","Microsoft","OK","CM_PROB_NONE","SWD\MMDEVAPI\{0.0.1.00000000}.{ECF6848C-847E-4DF1-A443-B782D271CCBE}"
"Headset Microphone (Plantronics Blackwire 3225 Series)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{DB4E84B3-3D8B-40D6-B1A7-7625A4803C6A}"
"Logi (2- HD Audio Driver for Display Audio)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{6522B6A3-DC84-46CF-B6E4-015096066078}"
"Microphone (Logi USB Headset)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.1.00000000}.{1BB20B89-3E48-47AD-BC40-9C98F8AA4E96}"
"Microphone Array on SoundWire Device (Cirrus Logic XU)","AudioEndpoint","Microsoft","OK","CM_PROB_NONE","SWD\MMDEVAPI\{0.0.1.00000000}.{09DFA0D1-CC45-493B-929E-F589428755CB}"
"Speakers (4- Cirrus Logic XU)","AudioEndpoint","Microsoft","OK","CM_PROB_NONE","SWD\MMDEVAPI\{0.0.0.00000000}.{45D28DC2-5526-4063-98DE-2B18FC40ED90}"
"Speakers (Logi USB Headset)","AudioEndpoint","Microsoft","Unknown","CM_PROB_PHANTOM","SWD\MMDEVAPI\{0.0.0.00000000}.{74D8CEEC-4335-409A-B527-F9D6DAF13F99}"
"Cirrus Logic Enhance APO","AudioProcessingObject","Cirrus Logic, Inc.","OK","CM_PROB_NONE","SWD\DRIVERENUM\{DC0701E7-E54B-442A-B70C-EF640F28C5DE}#ENHANCEAPO&9&18512C2D&0"
"Cirrus Logic Enhance APO","AudioProcessingObject","Cirrus Logic, Inc.","Unknown","CM_PROB_PHANTOM","SWD\DRIVERENUM\{DC0701E7-E54B-442A-B70C-EF640F28C5DE}#ENHANCEAPO&9&200D8058&0"
"Cirrus Logic Enhance APO","AudioProcessingObject","Cirrus Logic, Inc.","OK","CM_PROB_NONE","SWD\DRIVERENUM\{DC0701E7-E54B-442A-B70C-EF640F28C5DE}#ENHANCEAPO&9&1AB69CBC&0"
"intelliGo Audio Processing Object","AudioProcessingObject","intelliGo","OK","CM_PROB_NONE","SWD\DRIVERENUM\{CEDDD3B4-1C8D-4834-805D-9DCEFA53921F}#INTELLIGOAPOBASE&9&2D1483DF&0"
"intelliGo Audio Processing Object","AudioProcessingObject","intelliGo","OK","CM_PROB_NONE","SWD\DRIVERENUM\{CEDDD3B4-1C8D-4834-805D-9DCEFA53921F}#INTELLIGOAPOBASE&9&1EA0A8E3&0"
"Voice Clarity","AudioProcessingObject","Microsoft Corporation","OK","CM_PROB_NONE","SWD\DRIVERENUM\{96BEDF2C-18CB-4A15-B821-5E95ED0FEA61}#VOCAEFFECTPACK&1&2382DEDD&0"
"Microsoft AC Adapter","Battery","Microsoft","OK","CM_PROB_NONE","ACPI\ACPI0003\2&DABA3FF&0"
"Microsoft ACPI-Compliant Control Method Battery","Battery","Microsoft","OK","CM_PROB_NONE","ACPI\PNP0C0A\1"
