"FriendlyName","Class","Status","Problem","InstanceId"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_248D&PID_8003\5&2DC84FBA&0&6"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_248D&PID_8003\5&2DC84FBA&0&7"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_01\7&1E4CE273&0&0001"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_01\6&DED671F&0&0001"
"Dell WH3024 Headset HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_413C&PID_A524&MI_03&COL01\7&2893BDB8&0&0000"
"HID-compliant mouse","Mouse","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL01\7&1A68576E&0&0000"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_413C&PID_2514&MI_02\6&35358605&0&0002"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_284C&MI_01\7&B6967D7&0&0001"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_00\6&DED671F&0&0000"
"HID Keyboard Device","Keyboard","Unknown","CM_PROB_PHANTOM","HID\VID_248D&PID_8003\7&49D9A0D&0&0000"
"USB Composite Device","USB","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_284C\6&8542BEA&0&6"
"Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth","Unknown","CM_PROB_PHANTOM","BTH\MS_RFCOMM\6&4CC9C94&0&0"
"Hub Feature Controller","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_284C&MI_00\7&B6967D7&0&0000"
"HID-compliant consumer control device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL02\8&17CA6AF0&0&0001"
"Hub Feature Controller","USBDevice","Unknown","CM_PROB_PHANTOM","USB\VID_0424&PID_2840\6&8542BEA&0&6"
"HID-compliant vendor-defined device","HIDClass","Unknown","CM_PROB_PHANTOM","HID\VID_046D&PID_C534&MI_01&COL04\8&1DFCDEF3&0&0003"
"USB Input Device","HIDClass","Unknown","CM_PROB_PHANTOM","USB\VID_046D&PID_C534&MI_01\7&B9331CE&0&0001"
