"Name","Id","Path","StartTime","CPU_s","WorkingSetMB"
"ipf_uf","4836","C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_67eebeb56ed505a2\ipf_uf.exe","18-08-2026 14:30:54","0.265625","2.1"
"ipfsvc","4704","C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_e5ce4162c0997999\ipfsvc.exe","18-08-2026 14:30:54","3.171875","3.3"
"Licensing.Service","4604","C:\Program Files\Seagull\BarTender 11.5\Licensing.Service.exe","18-08-2026 14:30:54","1870.671875","84.8"
"LockApp","14848","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","18-08-2026 14:56:46","4.8125","0.7"
"LsaIso","1420",,"18-08-2026 14:30:53","4.125","1.6"
"lsass","1428",,"18-08-2026 14:30:53","283.84375","24.6"
"M365Copilot","12148","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2608.39011.0_x64__8wekyb3d8bbwe\M365Copilot.exe","18-08-2026 14:33:01","41.953125","54"
"Maestro.Service","9736","C:\Program Files\Seagull\BarTender 11.5\Maestro.Service.exe","18-08-2026 14:31:01","203.421875","24.2"
"Memory Compression","3664",,"18-08-2026 14:30:54","1684.484375","191.8"
"mgssecsvc","4752","C:\Program Files (x86)\ManageSoft\Security Agent\mgssecsvc.exe","18-08-2026 14:30:54","287.234375","7.1"
"Microsoft.Management.Services.IntuneWindowsAgent","18156","C:\Program Files (x86)\Microsoft Intune Management Extension\Microsoft.Management.Services.IntuneWindowsAgent.exe","18-08-2026 14:33:47","202.65625","82.2"
"Microsoft.Notes","21556","C:\Program Files\WindowsApps\Microsoft.MicrosoftStickyNotes_6.1.4.0_x64__8wekyb3d8bbwe\Microsoft.Notes.exe","18-08-2026 14:32:51","11.625","0.9"
"MoNotificationUx","26080","C:\Windows\uus\AMD64\MoNotificationUx.exe","19-08-2026 10:18:39","0.109375","1.9"
"MpDefenderCoreService","4864",,"18-08-2026 14:30:54","6.984375","5.8"
"MpDlpService","4856",,"18-08-2026 14:30:54","130.203125","22"
"mqsvc","5264","C:\Windows\system32\mqsvc.exe","18-08-2026 14:30:54","0.515625","3.5"
"msedge","848","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 13:13:35","22.03125","169.9"
"msedge","2876","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:51:13","8.578125","109.6"
"msedge","3056","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:00:04","211.078125","164.9"
"msedge","5384","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:53:57","1.09375","62.3"
"msedge","7804","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:01:05","2","8.5"
"msedge","13692","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:00:04","41.375","34.3"
"msedge","15628","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:36:30","0.890625","46.3"
"msedge","17816","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:51:17","1.984375","114.8"
"msedge","18528","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:00:04","128.03125","1247.5"
"msedge","21236","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:00:04","0.375","2.6"
"msedge","21856","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:04:19","5.59375","5.7"
"msedge","21984","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:36:57","0.515625","10.3"
"msedge","22244","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 11:15:37","154.65625","127.5"
"msedge","23604","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:58:53","0.203125","33.3"
"msedge","27980","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","18-08-2026 18:00:04","3.03125","10"
"msedge","31592","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","19-08-2026 14:36:54","268.78125","687"
"msedgewebview2","536","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:51:20","5.1875","14.9"
"msedgewebview2","2932","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:32","254.5625","74.4"
"msedgewebview2","3044","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:32","26.5","20.7"
"msedgewebview2","7516","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:31:30","5.015625","12.4"
"msedgewebview2","7600","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:31:30","2.828125","8.2"
"msedgewebview2","9488","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:32","635.40625","121.2"
"msedgewebview2","10012","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:52","7.640625","3.7"
"msedgewebview2","11044","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:51:19","0.328125","2.2"
"msedgewebview2","11928","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:51:20","2.484375","12.9"
"msedgewebview2","15904","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:31:30","0.75","4.8"
"msedgewebview2","16228","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:31:29","24.953125","25.6"
"msedgewebview2","16376","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:31:29","0.609375","2.2"
"msedgewebview2","16424","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:31:30","8.078125","13.6"
"msedgewebview2","16928","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:32","0.53125","2.3"
"msedgewebview2","19232","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:32","8.625","5.4"
"msedgewebview2","21776","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:51:20","0.703125","5.2"
"msedgewebview2","22736","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:02","44.484375","43"
"msedgewebview2","22868","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:02","0.46875","2.2"
"msedgewebview2","23188","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:02","33.265625","86.8"
"msedgewebview2","23356","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:03","14.734375","19.2"
"msedgewebview2","23412","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:03","1.421875","3.3"
"msedgewebview2","23484","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:03","138.1875","274.6"
"msedgewebview2","24448","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:33:33","2726.5625","914.3"
"msedgewebview2","24452","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:51:20","4.09375","10.4"
"msedgewebview2","25036","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","18-08-2026 14:51:19","42.53125","42.4"
"msedgewebview2","25988","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","19-08-2026 10:23:37","3.390625","12.3"
"msedgewebview2","31684","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\151.0.4129.86\msedgewebview2.exe","19-08-2026 14:46:46","1.96875","18.3"
