"DeviceName","Manufacturer","DriverVersion","DriverDate","DriverProviderName","InfName","IsSigned"
"SoundWire ACX Streaming for SDW - Microphone Array","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","oem43.inf","True"
"Intel ACX Streaming for SDW","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","oem43.inf","True"
"Intel® Smart Sound Technology for USB Audio","Intel(R) Corporation","20.40.12690.2","30-03-2026 05:30:00","Intel(R) Corporation","oem15.inf","True"
"Cirrus Logic Global Mic Mute Service","Cirrus Logic, Inc.","1.0.16.51","20-02-2026 05:30:00","Cirrus Logic, Inc.","oem166.inf","True"
"Cirrus Logic Legacy Logging Service","Cirrus Logic, Inc.","15.23.33.748","11-01-2025 05:30:00","Cirrus Logic, Inc.","oem170.inf","True"
"HID-compliant headset","Microsoft","10.0.26100.8737","21-04-2009 05:30:00","Microsoft","hidtelephonydriver.inf","True"
"HID-compliant consumer control device","Microsoft","10.0.26100.1","21-06-2006 05:30:00","Microsoft","hidserv.inf","True"
"Virtual HID Framework (VHF) HID device","Microsoft","10.0.26100.8521","21-06-2006 05:30:00","Microsoft","hidvhf.inf","True"
"SoundWire HID","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem64.inf","True"
"XuCsMe Speaker(Ext)","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","oem147.inf","True"
"XuCsMe Microphone(Ext)","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","oem147.inf","True"
"Cirrus Jack Retasking Audio Module","Cirrus Logic SDCA XU Audio Device","1.0.435.18044","19-04-2025 05:30:00","Cirrus Logic, Inc.","oem147.inf","True"
"intelliGo Audio Service Component","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","oem525.inf","True"
"intelliGo Audio Processing Object","intelliGo","100.1.4.2740","04-09-2026 05:30:00","intelliGo","oem457.inf","True"
"SoundWire Audio","Microsoft","10.0.2410.7","17-01-2025 05:30:00","Microsoft","oem66.inf","True"
"Cirrus Logic Enhance APO","Cirrus Logic, Inc.","1.13.6.313","17-12-2024 05:30:00","Cirrus Logic, Inc.","oem174.inf","True"
"CLABP service","Cirrus Logic, Inc.","2026.4.0.0","02-11-2026 05:30:00","Cirrus Logic, Inc.","oem443.inf","True"
