"DisplayName","DisplayVersion","Publisher","InstallDate","InstallLocation","UninstallString"
"Npcap OEM","1.84","Nmap Project",,"C:\Program Files\Npcap","""C:\Program Files\Npcap\uninstall.exe"""
"Office 16 Click-to-Run Extensibility Component","16.0.20131.20112","Microsoft Corporation","20260721","","MsiExec.exe /X{90160000-008C-0000-1000-0000000FF1CE}"
"Python 3.13.15 Add to Path (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{CCE2CFC0-BE0F-42FE-B20B-9B6DB711A130}"
"Python 3.13.15 Core Interpreter (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{6A138749-F2A9-4B24-B384-DC423B4057AC}"
"Python 3.13.15 Development Libraries (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{6BD0AB95-5A14-418B-9552-0636E3508078}"
"Python 3.13.15 Documentation (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{76BFDF3B-8CBB-42C5-A76D-C745EEC564DE}"
"Python 3.13.15 Executables (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{B90F2CB7-E388-48FF-BA03-BE13F5445D45}"
"Python 3.13.15 pip Bootstrap (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{F5E9FCCB-F42C-447B-9A6D-A1F10D16873C}"
"Python 3.13.15 Standard Library (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{29A6183F-228C-4370-A85B-3201A078453E}"
"Python 3.13.15 Tcl/Tk Support (64-bit)","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /I{DFDDB8BD-7449-4F42-971B-30AEC110337C}"
"Python Launcher","3.13.15150.0","Python Software Foundation","20260807","","MsiExec.exe /X{0AE7F899-490C-423C-B3F5-8A520B8BCE14}"
"Spektion Sensor","3.0.8","Spektion","20260729",,"""C:\ProgramData\Package Cache\{741AE3E0-9603-4C18-A603-23C63DAFCC0B}\SensorSetup.exe""  /uninstall"
"SQL Server 2019 Batch Parser","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{D459615B-83B0-408F-8F39-6CC07C277BA6}"
"SQL Server 2019 Common Files","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{5E4344C9-8B97-4ED9-8760-57E221C240F4}"
"SQL Server 2019 Connection Info","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{99B940D5-1A49-4B6C-B26C-6A88B2C061CA}"
"SQL Server 2019 Database Engine Services","15.0.2000.5","Microsoft Corporation","20260721","","MsiExec.exe /I{A60B3D8E-5311-4BF1-AF7A-D1AC15F9152E}"
"SQL Server 2019 Database Engine Shared","15.0.2000.5","Microsoft Corporation","20260721","","MsiExec.exe /I{DE5B7937-D5B5-4157-BC30-BB87F021CFF0}"
"SQL Server 2019 DMF","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{FC8DC283-4A85-467F-8D0E-2FE4606DCCA1}"
"SQL Server 2019 Shared Management Objects","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{A8581199-F913-443B-B058-8E8BF317E71C}"
"SQL Server 2019 Shared Management Objects Extensions","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{8DDAEBCA-4267-4E16-9FE0-D87F21D36891}"
"SQL Server 2019 SQL Diagnostics","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{28ED6838-D8E5-454C-A813-12C5EB447CAB}"
"SQL Server 2019 XEvent","15.0.2000.5","Microsoft Corporation","20260528","","MsiExec.exe /I{228C3DC2-695E-4FC7-87E4-6A9CE905DA9B}"
"Zoho Assist - Customer Plugin","1.0.2","Zoho Corp","20260523","","MsiExec.exe /I{1D0B53A0-E337-4B69-BC27-A1B7C3FBA61A}"
"Zscaler","4.8.0.232","Zscaler Inc.","20260720","","MsiExec.exe /X{BFCD0814-3D81-40A5-805B-8E2B7545B0BF}"
"ZscalerEP","26.05.0.36","Zscaler","20260720","","MsiExec.exe /I{A9B05402-4783-480C-AF85-546F71AEEAA4}"
