"ReportFolder","SourcePath","LastWriteTime"
"NonCritical_1_bb9bd78ecee15d13b2ae2f107cab752ae65b3c1a_00000000_f7a3cf67-f12a-4ae2-8d7f-784cc5105fb9","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-05-2026 11:08:25"
"NonCritical_80004004_21541d2d846c31f3e5ec8d84eff13b6cfa38e41_00000000_debaa202-466a-4d64-b29f-e1d0309432f2","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","16-06-2026 09:59:36"
"NonCritical_Acquisition;setu_4972e2268f80799a15252ef141b6c767d43e_00000000_ee1fa985-81e6-447f-84a7-c815fd34600c","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","15-06-2026 09:30:51"
"NonCritical_MicrosoftEdgeUpd_3b121fd67d0f458fd7ad8815bda99dd3464cc7e_00000000_f8da1dd8-33a1-46e5-9277-14a186f5f966","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","18-06-2026 09:07:19"
"NonCritical_MicrosoftEdgeUpd_9cb67dfeb44b24228bec343a15d6464a9159819a_00000000_edab135c-7bb3-43bb-841a-2e11bd068f33","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-07-2026 09:53:46"
"NonCritical_MicrosoftEdgeUpd_a304280afcc988b4d922ffdc982a88e0d7a0a1_00000000_d8b5d93a-83e4-4f0a-956c-8a8a7e18fc3a","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","26-06-2026 17:40:49"
"NonCritical_MicrosoftEdgeUpd_c1c2599cb6661f57348b87347574aaf9e7f33bb_00000000_3b3dcb04-80ec-4553-9505-ef763be1dcf2","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-05-2026 12:04:47"
"NonCritical_MicrosoftEdgeUpd_dd7963165a43aeeaf67254dd3a7f12c23d24c5_00000000_99889279-f435-48f9-b3e6-45f31aa225ba","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","31-05-2026 11:21:13"
"NonCritical_MicrosoftEdgeUpd_e68875379e5cf75edf07391e9bbb980cb1f96f_00000000_7b7d1370-be30-4a62-bfde-bdd38bb2fa0a","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","31-07-2026 09:45:33"
"NonCritical_MicrosoftEdgeUpd_e68875379e5cf75edf07391e9bbb980cb1f96f_00000000_a7e10be5-4e57-41e5-b259-cd267658b678","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","27-07-2026 09:44:49"
"NonCritical_setup.exe_c6bbf4a81db21fb7fe1da8996e0aa158d17df_00000000_87e2b996-24de-491d-beb8-fecbf00f07b5","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","31-05-2026 11:21:06"
"NonCritical_Update;MoUpdateO_5d7c869516dbd13328973e66168f312dbdab99_00000000_07f381ea-1bc0-4677-a9ad-4fa3e7d443b1","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","11-06-2026 08:55:38"
"NonCritical_Update;MoUpdateO_5d7c869516dbd13328973e66168f312dbdab99_00000000_4ce8a205-681f-4655-bd32-8751f6712708","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","16-06-2026 09:46:28"
"NonCritical_Update;MoUpdateO_5d7c869516dbd13328973e66168f312dbdab99_00000000_5d8051a5-4090-451a-a90a-14bf1351881c","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","15-06-2026 09:12:59"
"NonCritical_Update;MoUpdateO_5d7c869516dbd13328973e66168f312dbdab99_00000000_b25e8658-b930-4830-a56c-6dac5b6f5ca0","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-05-2026 14:06:15"
"NonCritical_Update;MoUpdateO_681da768684512b6bfa83b73efb847bbd5f8e87_00000000_f46d707b-703c-442d-8ae8-149d46380ff9","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-05-2026 14:04:58"
"NonCritical_Update;MoUpdateO_688348f1a0205223c21479bb681f4a1ce1b0b1_00000000_59d8e5f5-01cd-480c-93da-b6b9fdbf18f4","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-05-2026 14:05:25"
"NonCritical_Update;MoUpdateO_6ccfacbe8779c3a73df3b02f76dd6e77a9422f4b_00000000_2b32dda8-1bb4-482b-b470-621e92c29ac9","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","30-07-2026 11:47:57"
"NonCritical_Update;MoUpdateO_6ccfacbe8779c3a73df3b02f76dd6e77a9422f4b_00000000_6736b05d-fff2-4589-bee0-4f0441d32f21","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","13-08-2026 12:03:37"
"NonCritical_Update;MoUpdateO_6ccfacbe8779c3a73df3b02f76dd6e77a9422f4b_00000000_6cdf9385-8513-4aec-ad9c-72add104dd21","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","29-07-2026 11:25:16"
"NonCritical_Update;MoUpdateO_6ccfacbe8779c3a73df3b02f76dd6e77a9422f4b_00000000_942bb0a3-980d-429b-ab6c-20700dc99786","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","31-07-2026 11:54:45"
"NonCritical_Update;MoUpdateO_6ccfacbe8779c3a73df3b02f76dd6e77a9422f4b_00000000_e8a88f8d-124f-4803-997c-71ff1e2ed9ca","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","07-08-2026 10:27:54"
"NonCritical_Update;MoUpdateO_6e3d8fbc684d7dabda59fc97914aabacd54c9c_00000000_9400ae95-72ff-4719-b427-795d4555e923","C:\ProgramData\Microsoft\Windows\WER\ReportArchive","23-05-2026 14:06:07"
